state_code,State,vehicle count
35,Andaman and Nicobar Islands,147107
28,Andhra Pradesh,7843433
12,Arunachal Pradesh,252985
18,Assam,4741819
10,Bihar,10490413
4,Chandigarh,749693
22,Chhattisgarh,6857166
26,Dadra and Nagar Haveli and Daman and Diu,6789
7,Delhi,7841993
30,Goa,1075440
24,Gujarat,20650756
6,Haryana,10815305
2,Himachal Pradesh,1965929
1,Jammu and Kashmir,1872903
20,Jharkhand,6503748
29,Karnataka,26990835
32,Kerala,15804853
19,Ladakh,38328
31,Lakshadweep,8237
23,Madhya Pradesh,843092
27,Maharashtra,31175636
14,Manipur,499910
17,Meghalaya,459050
15,Mizoram,315647
13,Nagaland,339187
21,Odisha,9868444
34,Puducherry,1215884
3,Punjab,12477823
8,Rajasthan,17408726
11,Sikkim,97210
33,Tamil Nadu,29924427
0,Telangana,785749
16,Tripura,659288
5,Uttarakhand,3343049
9,Uttar Pradesh,40429670
19,West Bengal,14182938
